Nimike;Tekijä;ISBN;Varauksia;Niteitä;Tilattuja lisäkappaleita;Varauksia / nide
I'll give you the sun ;Nelson, Jandy ;9781406326499;13;3;0;4.3
Kehittyvä kirjanpitotaito. Harjoituskirja ;Tomperi, Soile ;9789513766863;13;3;0;4.3
Kuin surmaisi satakielen ;Lee, Harper ;9512036932;13;3;0;4.3
Marketing : an introduction ;Armstrong, Gary ;9780273767183;13;3;0;4.3
Maskrosguden : roman ;Forsblom, Sabine ;9515221862;13;3;0;4.3
Organizational behavior ;Robbins, Stephen P. ;9780273719397;13;3;0;4.3
Sisäinen teatteri ja luova kirjoittaminen tietoisuustaitona ;Sarvela, Kati ;9789529326006;13;3;0;4.3
Summer at Shell Cottage;Diamond, Lucy  ;9781447257806;13;2;1;4.3
Suomen oikeushistorian pääpiirteet : sukuvallasta moderniin oikeuteen ;;9516625266;13;3;0;4.3
The hypnotist's love story ;Moriarty, Liane ;9780241955062;13;3;0;4.3
The year of the runaways ;Sahota, Sunjeev ;9781447241669;13;2;1;4.3
Cocaine blues ;Greenwood, Kerry ;9781590583852;13;4;0;3.3
Falling in love ;Leon, Donna ;9781410478900;13;4;0;3.3
Onnivaattori : itsen johtamisen keveys ;Pirhonen, Pekka ;9789523181144;13;4;0;3.3
Ruisvoimaa ;;9789523010192;13;4;0;3.3
Taidekasvattajaksi varhaiskasvatukseen : kuvataiteen opintojen kehittäminen lastentarhanopettajien koulutuksessa ;Rusanen, Sinikka ;9789515582324;13;4;0;3.3
The Bane chronicles ;Clare, Cassandra ;9781406361322;13;4;0;3.3
The cellar ;Walters, Minette ;9780099594642;13;4;0;3.3
Islam Raamatun valossa ;Ahvenainen, Martti ;9789522520456;13;5;0;2.6
Johdatus kilpailuoikeuteen ;Wikberg, Olli ;9789521416750;13;5;0;2.6
Onko Jumala hyvä? : antaako psykoanalyysi vastauksen? ;Hyrck, Matti ;9789525519303;13;5;0;2.6
Profiles :  course 1 ;;9789526309958;13;5;0;2.6
Rikosoikeuden peruskysymyksiä ;Melander, Sakari ;9789515109095;13;5;0;2.6
The murder road ;Booth, Stephen ;9780751559941;13;5;0;2.6
Villiä & valloittavaa : suomalaisen nykykeittiön helmiä ;Tallberg, Sami ;9789525969375;13;5;0;2.6
Elinkeinoverolaki käytännössä ;Kukkonen, Matti ;9789510379608;13;6;0;2.2
Ohjaus- ja neuvontatyö : aikaa, huomiota ja kunnioitusta ;Onnismaa, Jussi ;9789524952057;13;6;0;2.2
Rikosoikeudellinen seuraamusjärjestelmä ;Matikkala, Jussi ;9789513757960;13;6;0;2.2
Silmät ilman kasvoja : kauhu filosofiana ;Kilpeläinen, Tapani ;9789525503876;13;6;0;2.2
The novel habits of happiness ;McCall Smith, Alexander ;9781408706633;13;6;0;2.2
Henkilöstöasiantuntijan käsikirja ;Österberg, Maritta ;9789522463562;13;7;0;1.9
Minä olen hänen asuinsijansa ;Seutu, Katja ;9789525804843;13;7;0;1.9
Stressi, palautuminen ja hyvinvointi : ihmisen mahdollisuudet vaikuttaa kehon- ja mielentilaan ;Peltomaa, Harri ;9789525469219;13;7;0;1.9
TAMplus ;Toivonen, Pertti ;9789510377420;13;7;0;1.9
Vainottu mieli : rakenteellinen dissosiaatio ja pitkään jatkuneen traumatisoitumisen hoitaminen ;Hart, Onno van der ;9789519820644;13;7;0;1.9
Kulmakivi : luokanopettajan äidinkieli ja kirjallisuus ;;9511214195;13;8;0;1.6
Luovuus, oppiminen ja asiantuntijuus : koulutuksen ja työelämän näkökulma ;;9789510363454;13;8;0;1.6
Mehubaari ;Lewis, Sara ;9789512098248;13;8;0;1.6
Sopimusoikeuden oppikirja ;Hemmo, Mika ;9789521413230;13;8;0;1.6
The shadows ;Ward, J. R. ;9780749959616;13;8;0;1.6
Tubecon : tubettajien kuka kukin on 2015 ;Seppänen, Lilja ;9789510413685;13;8;0;1.6
Italialaiset kengät ;Mankell, Henning ;9789511259367;13;9;0;1.4
Tuotantotalous ;;9510281042;13;9;0;1.4
Vanheneminen ja terveys ;;9789513746292;13;9;0;1.4
Pilvien rosvot ;Charlier, Jean-Michel ;9789522338525;13;10;0;1.3
Suomalainen maisema : saaristo = Finnish landscapes : islands and archipelagos ;;9789522911865;13;10;0;1.3
Geos. 1 : Sininen planeetta ;;9789526308524;13;11;0;1.2
4 tunnin kokki : nopein tie mestarilliseen ruoanlaittoon, minkä tahansa asian oppimiseen ja hyvän elämän elämiseen ;Ferriss, Timothy ;9789522602206;13;12;0;1.1
Big Game : kuinka Hollywood tuotiin Suomeen ;Kinnunen, Kalle ;9789510405338;13;12;0;1.1
Mörkylin äänikirja ;Donaldson, Julia ;9789518837025;13;12;0;1.1
Lessons from Madame Chic :  20 stylish secrets I learned while living in Paris ;Scott, Jennifer L. ;9781451699371;12;1;0;12.0
Rakkautta Manhattanilla ;Roberts, Nora ;9789164056450;12;1;0;12.0
Risk savvy : how to make good decisions ;Gigerenzer, Gerd ;9780241954614;12;1;0;12.0
Runoanalyysi ja runotekniikka ;Arti, V. ;cls00127761;12;1;0;12.0
Suuri virta : matkalla Kiinan kääntöpuolella ;Huhtala-Fiskars, Anna-Liisa ;9789529356058;12;1;0;12.0
Systeemiajattelun tekniikka tehostamassa arkiajattelua ;Laitila, Erkki ;9789529346837;12;1;0;12.0
Tex Willer. Kronikka 38 : Painajainen ;Bonelli, Gianluigi ;9789522337542;12;1;0;12.0
Yksinäisen miehen saari : kertomus kuudesta vuodesta autiolla saarella ;Neale, Tom ;951104348X;12;1;0;12.0
101 socks : circular needles, felted, addi-express, toe up, crocheted, and spiral knit ;;9780764348501;12;1;1;6.0
Andrea Pirlo : I think therefore I play ;Pirlo, Andrea ;9781909430167;12;2;0;6.0
Julkista johtamista jalostamassa ;;9789522615343;12;2;0;6.0
Luckiest girl alive ;Knoll, Jessica ;9781447286202;12;2;0;6.0
Story : substance, structure, style, and the principles of screenwriting ;McKee, Robert ;9780413715609;12;2;0;6.0
The ethical slut : a practical guide to polyamory, open relationships & other adventures ;Easton, Dossie ;9781587613371;12;2;0;6.0
Bizarre England : discover the country's secrets & surprises ;Long, David ;9781782433767;12;2;1;4.0
Drape drape. 3 ;Sato, Hisako ;9781780671000;12;3;0;4.0
EU-rikosoikeus ;Melander, Sakari ;9789521424083;12;3;0;4.0
Hienoimmat virkkuutyöt : vaatteita ja asusteita unelmankevyistä langoista ;Omdahl, Kristin ;9789522542366;12;3;0;4.0
Hyvä työterveyshuoltokäytäntö ;;9789522613585;12;3;0;4.0
Kristillisyys elämäntapana : Suomalaisen Teologisen Kirjallisuusseuran symposiumissa marraskuussa 2013 pidetyt esitelmät ;;9789529791941;12;3;0;4.0
Lastensuojelulaki (417/2007) : soveltamisopas ;Taskinen, Sirpa ;9789513319823;12;3;0;4.0
Longing ;Balogh, Mary  ;9780451469755;12;3;0;4.0
Minecraft Blockopedia ;Wiltshire, Alex ;9781405273534;12;3;0;4.0
Nothing is true and everything is possible : adventures in modern Russia ;Pomerantsev, Peter ;9780571308019;12;3;0;4.0
Outlander ;Gabaldon, Diana ;0385319959;12;3;0;4.0
The Taming of the Queen ;Gregory, Philippa ;9781471132971;12;2;1;4.0
The girls ;Jewell, Lisa ;9781780893594;12;3;0;4.0
Uskomaton matka uskovien maailmaan ;Enqvist, Kari ;9789510402603;12;3;0;4.0
Vanhan testamentin tutkimus ja teologia ;Veijola, Timo ;9519111794;12;3;0;4.0
Eilispäivän maailma : erään eurooppalaisen muistelmia ;Zweig, Stefan ;kr20315600;12;4;0;3.0
Mahdoton menestys : kasvun paikka Nokia ;Ollila, Jorma ;9789511284048;12;4;0;3.0
Oopperan kummitus ;Leroux, Gaston ;9512328003;12;4;0;3.0
Percy Jackson and the Greek heroes ;Riordan, Rick ;9780141355429;12;4;0;3.0
Venäjän soivat seetripuut. ;Megre, Vladimir ;9789519864099;12;4;0;3.0
What if : serious scientific answers to absurd hypothetical questions ;Munroe, Randall ;9781848549579;12;4;0;3.0
Antamasi lupaus : De Warennen perhe ;Joyce, Brenda ;9789164094193;12;5;0;2.4
Arvonlisäverotus ja muu kulutusverotus ;Juanto, Leila ;9789521421822;12;5;0;2.4
Bella vista. 2 : Opiskelijan ratkaisut ;;9789526311920;12;5;0;2.4
Herkutellen luonnossa : kuivatuotteista kunnon eväät ;Hentman, Raija ;9789525701388;12;5;0;2.4
Hoitoon liittyvien infektioiden torjunta ;;9789522136565;12;5;0;2.4
Laaja-alaiset oppimisvaikeudet ;;9789513938499;12;5;0;2.4
V)ihastuttava mainoskieli : fraaseista fiiliksiin ;Parviainen, Taina ;9789522463425;12;6;0;2.0
Musta laatikko ;Connelly, Michael ;9789512400461;12;6;0;2.0
Terveys ja johtaminen : terveyshallintotiede terveydenhuollon työyhteisöissä ;;9510279382;12;6;0;2.0
Työyhteisön terveys ja hyvinvointi ;;9518025150;12;6;0;2.0
Outlander : Cross stitch ;Gabaldon, Diana ;9780099599531;12;5;2;1.7
Sähköä ilmassa : Tietoa ympäristömme sähkömagneettisen säteilyn terveysvaikutuksista ja suojautumisesta ;Tamminen, Erja ;9789529358571;12;2;5;1.7
Viimeisten veteraanien muistot : sodan kokeneiden kertomuksia ;Issakainen, Martti ;9789526708072;12;7;0;1.7
Eemil - erään adoption tarina ;Peuranen, Anu-Riikka ;9789527130032;12;8;0;1.5
Koulunkäynninohjaajan käsikirja ;;9789526316239;12;8;0;1.5
Vihreä valhe : valheen sysimustat juuret, sen salakavalat lonkerot ja murheelliset seuraukset ;Paunio, Mikko ;9789527043479;12;8;0;1.5
Stoner ;Williams, John ;9789127143043;12;7;2;1.3
Hyvinvointi : suomalaisen yhteiskunnan perusta ;;9789524951838;12;10;0;1.2
Talousohjaus ja kustannuslaskenta ;;9789510358139;12;10;0;1.2
Terveysliikunta ;;9789516563636;12;10;0;1.2
Traumaperäisen dissosiaatiohäiriön vakauttaminen : taito-ohjelma potilaille ja terapeuteille ;Boon, Suzette ;9789519820668;12;10;0;1.2
The scorch trials ;Dashner, James ;9781906427795;12;11;0;1.1
Tudo bem?. [1-2] : Tehtävien vastaukset ;Ingalsuo, Tommi ;9789526300467;12;11;0;1.1
Aikamme nainen : luonteenkuvaus ;Linder, Marie ;9789529252978;11;1;0;11.0
Born of defiance ;Kenyon, Sherrilyn ;9780349402741;11;1;0;11.0
Hellitä suitsia, Kati ;Marttila, Johanna ;9512328143;11;1;0;11.0
Huokaa rukous ;Maarala, Lauri ;9789522882721;11;1;0;11.0
Kaksi unelmaa ;Roberts, Nora ;9789164057334;11;1;0;11.0
Keski-ikäiset ystäväni ;Aarne, Mikko ;9789511278276;11;1;0;11.0
Kuka kukin on = Who's who in Finland : henkilötietoja nykypolven suomalaisista 2015 ;;9789511282280;11;1;0;11.0
Salomonin tuomio ;Christie, Agatha ;9510149683;11;1;0;11.0
Silkkiäistoukka ;Galbraith, Robert ;9789511285267;11;1;0;11.0
Tex Willer. Kronikka 39 : Veristä hiekkaa ;Bonelli, Gianluigi ;9789522337559;11;1;0;11.0
The 4-hour chef : the simple path to cooking like a pro, learning anything and living the good life ;Ferriss, Timothy ;9781477800072;11;1;0;11.0
Täpinää tassuihin : materiaalia alle kouluikäisten tanssi- ja leikkikasvatukseen ;;9789529919260;11;1;0;11.0
Universal Man : Seven Lives of John Maynard Keynes ;Davenport-Hines, Richard ;9780007519804;11;1;0;11.0
An introduction to work and organizational psychology : a European perspective ;;9781405132763;11;2;0;5.5
Atkinson & Hilgard's introduction to psychology ;;0155050699;11;2;0;5.5
Djävulsdansen : bli fri från medberoende ;Söderlund, An ;9789187371523;11;2;0;5.5
Henkistä tietä aloittelijoille ;Niskanen, Ulla ;9789526824000;11;2;0;5.5
Hyvinvointivaltion lupaukset, kohtuuttomat tapaukset ja sosiaalityö ;Metteri, Anna ;9789514489556;11;2;0;5.5
Hyvä liiketoimintasuunnitelma ;Hesso, Johannes ;9789522463821;11;2;0;5.5
Kasvatus ja filosofia ;Puolimatka, Tapio ;9512640791;11;2;0;5.5
Murhaaja ei valehtele yksinään : salapoliisiromaani ;Lang, Maria ;9515403537;11;2;0;5.5
Pieni kansa, pitkä muisti : Suomalaisen Kirjallisuuden Seura talvisodasta 2000-luvulle ;Häggman, Kai ;9789522224798;11;2;0;5.5
Sidney Chambers and the shadow of death ;Runcie, James ;9781408831403;11;2;0;5.5
Suorahaku ;Soikkanen, Kalle ;9789518853940;11;2;0;5.5
Taikavuori ;Mann, Thomas ;9510230707;11;2;0;5.5
The 5 love languages : the secret to love that lasts ;Chapman, Gary ;9780802473158;11;2;0;5.5
Eurooppalaiset elinolot ;;9789516699366;11;3;0;3.7
Flying too high ;Greenwood, Kerry ;9781590583951;11;3;0;3.7
Koulutuksen lainsäädäntö käytännössä ;Lahtinen, Matti ;9789518853537;11;3;0;3.7
Light on yoga : yoga dipika ;Iyengar, B. K. S. ;0007107005;11;3;0;3.7
Methods in behavioral research ;Cozby, Paul C. ;9789814577090;11;2;1;3.7
Mielikuvituksen voima : sadut, myytit ja tarinat Suomen ja Norjan taiteessa = The Magic North : Finnish and Norwegian art around 1900 ;;9789527067123;11;3;0;3.7
Oppilaan minäkuva ja luottamus omiin kykyihin ;;9789513955960;11;3;0;3.7
Raakaa mehua : terveelliset ja kevyet reseptit hyvään oloon ;Cadji, Sarah ;9789523210417;11;3;0;3.7
Suomen finanssioikeus ;Myrsky, Matti ;9789522463067;11;3;0;3.7
Talk like TED : the 9 public speaking secrets of the world's top minds ;Gallo, Carmine ;9781447261131;11;3;0;3.7
The fishermen ;Obioma, Chigozie ;9780957548855;11;2;1;3.7
Tuli : muutoksen ja luovuuden elementti ;Lehtiranta, Erkki ;9789525997149;11;2;1;3.7
Teräsmies]. Osa kolme ;Straczynski, J. Michael ;9788868739874;11;3;0;3.7
Fifty shades. 3 : Vapautettu ;James, E. L. ;9789511275312;11;4;0;2.8
Flash boys : cracking the money code ;Lewis, Michael ;9780141981031;11;4;0;2.8
Pohjois-Korea : yhdeksän vuoden pakomatka helvetistä ;Kim, Eunsun ;9789522343307;11;4;0;2.8
Rikosoikeus ;;9789510339978;11;4;0;2.8
Toimintatutkimus kehittämistutkimuksen muotona : miten kirjoitan toimintatutkimuksen opinnäytetyönä? ;Kananen, Jorma ;9789518303452;11;4;0;2.8
Vakuutusoppi ;Rantala, Jukka ;9789525684643;11;4;0;2.8
Verotusmenettely ja muutoksenhaku ;Myrsky, Matti ;9789521424540;11;4;0;2.8
Musta, valkoinen häpeä ;Blomster, Salme ;9789524757102;11;5;0;2.2
Näkökulmia näkövammaisten opetukseen ;;9524511436;11;5;0;2.2
Radiologia ;;9510296260;11;5;0;2.2
By its cover ;Leon, Donna ;9780099591283;11;6;0;1.8
Maadoittuminen : kaikkien aikojen tärkein terveyslöytö ;Ober, Clinton ;9789525965278;11;6;0;1.8
Never eat alone : and other secrets to success, one relationship at a time ;Ferrazzi, Keith  ;9780553418767;11;6;0;1.8
Tutkimuksen tekemisen perusteet ihmistieteissä : opiskelijalaitos ;Metsämuuronen, Jari ;9525372200;11;6;0;1.8
Asiakkaan aikakausi : rohkeus + rakkaus = raha ;Löytänä, Janne ;9789521418891;11;7;0;1.6
Forum. 1 : Uusi yhteiskuntatieto ;;9789511294825;11;7;0;1.6
Johtajana muutoksissa ;;9789522931986;11;2;5;1.6
Physica. 5 : Pyöriminen ja gravitaatio ;;9789526316796;11;7;0;1.6
Rakkauden parantava voima ;Välimäki, Petri ;9789522520487;11;7;0;1.6
Tekniikan fysiikka. 1 / [kuvitus: Elvi Turtiainen] ;Suvanto, Kari ;9513738426;11;7;0;1.6
Pedot : =Animals ;Meltio, Eeva ;9789525909241;11;8;0;1.4
Sosiaali- ja terveysjohtaminen ;;9789526334257;11;8;0;1.4
Suuri digikuvaajan kirja ;Flyktman, Reima ;9789523210547;11;8;0;1.4
Vallankumous Suomessa 1917-1918. I osa ;Upton, Anthony F. ;9512618281;11;8;0;1.4
Forum 2 : Uusi taloustieto ;;9789511294832;11;9;0;1.2
Tilinpäätösanalyysi ;Niskanen, Jyrki ;9513737012;11;9;0;1.2
Vaimoni ;Varis, Tuula-Liina ;9789510407721;11;9;0;1.2
Katukeittiö : parempaa roskaruokaa ;Häyrinen, Jenni ;9789523210615;11;10;0;1.1
Limpopon yksityisetsiväkoulu ;McCall Smith, Alexander ;9789511285366;11;10;0;1.1
The body book : feed, move, understand and love your amazing body ;Diaz, Cameron ;9780007522057;11;10;0;1.1
Advanced Google AdWords ;Geddes, Brad ;9781118819562;10;1;0;10.0
Angry Birds maailmaa rakentamassa : suuri Angry Birds -kirja ;Graydon, Danny ;9789522206855;10;1;0;10.0
Ikoni puhuu : tietoa ikonien kielestä ja tehtävästä ;Flinckenberg-Gluschkoff, Marianna ;9789523010345;10;1;0;10.0
Keeping house : hints and tips for a clean, tidy and well-organized home ;Harris, Cindy ;9781849756662;10;1;0;10.0
Kokataan kimpassa ;;9789513230364;10;1;0;10.0
Kotilieden iso leivontakirja ;;9789522710086;10;1;0;10.0
L'arabe du futur. 2 : une jeunesse au Moyen-Orient (1984-85) ;Sattouf, Riad ;9782370730541;10;1;0;10.0
Maisan linna : Maisan leikkisä näyttämökirja ;Cousins, Lucy ;9789510406984;10;1;0;10.0
Services marketing : integrating customer focus across the firm ;Zeithaml, Valarie A. ;9780071086967;10;1;0;10.0
Tex Willer. Kronikka 36 : Ihmismetsästystä  ;Bonelli, Gianluigi ;9789522336392;10;1;0;10.0
The guest cottage ;Thayer, Nancy ;9781472216021;10;1;0;10.0
The man who mistook his wife for a hat ;Sacks, Oliver ;033034305x;10;1;0;10.0
Tiedolla johtaminen hallinnossa : teoriaa ja käytäntöjä ;;9789514497544;10;1;0;10.0
Tribes : we need you to lead us ;Godin, Seth ;9780749939755;10;1;0;10.0
Täydellinen terveys : parantava yhteys kehon ja mielen välillä ;Chopra, Deepak ;9529051581;10;1;0;10.0
Uusi ajatus löytyy luonnosta. I /  [... kuvat ... Pirkko Hakkila ... Osmo Pasuri...] : käsikirja luonnon salaisista voimista ja niiden käytöstä ;Jalkanen, Esko ;9529901852;10;1;0;10.0
Vihreän kullan maa : Evoloiden tarina ;Mustonen, Enni ;9511142674;10;1;0;10.0
8 steps to a pain-free back : natural posture solutions for pain in the back, neck, shoulder, hip, knee, and foot ;Gokhale, Esther ;9781905367450;10;1;1;5.0
Gaia's garden : a guide to home-scale permaculture ;Hemenway, Toby ;9781603580298;10;1;1;5.0
Hardwiring happiness : how to reshape your brain and your life ;Hanson, Rick ;9781846043574;10;2;0;5.0
My paleo patisserie ;Hulet, Jenni ;9781628600445;10;2;0;5.0
Mäki ja kaksi kohtalon tanssia ;Repo, Timo ;9789523184503;10;2;0;5.0
Natural born heroes : the lost secrets of strength and endurance ;Mcdougall, Christopher ;9781846684562;10;1;1;5.0
Research methods and statistics in psychology ;Coolican, Hugh ;9781444170115;10;2;0;5.0
Rubiinit ennustavat onnettomuutta ;Heyden, Marina de ;;10;2;0;5.0
Sartre : pelon, inhon ja valinnan filosofia ;Saarinen, Esa ;9519287027;10;2;0;5.0
Spinster : making a life of one's own ;Bolick, Kate ;9780385347136;10;2;0;5.0
The 4-hour work week : escape the 9-5, live anywhere and join the new rich ;Ferriss, Timothy ;9780091923723;10;2;0;5.0
The diet myth : the real science behind what we eat ;Spector, T. D. ;9780297609193;10;2;0;5.0
The hungry student vegetarian cookbook : more than 200 quick and simple recipes ;;9781846014970;10;2;0;5.0
The opposite of loneliness : essays and stories ;Keegan, Marina ;9781471139628;10;2;0;5.0
The world of shabby chic : beautiful homes, my story & vision ;Ashwell, Rachel ;9780847844944;10;2;0;5.0
Työsuhdeasioiden käsikirja. I ;Saarinen, Mauri ;9789513763534;10;2;0;5.0
Anestesiologia ja tehohoito ;;9789516564046;10;3;0;3.3
Aurinkokunnan historia ja salatut mysteerit ;Rubenfeld, Fred ;9789529983278;10;3;0;3.3
Blue Lily, Lily Blue ;Stiefvater, Maggie ;9781407136639;10;1;2;3.3
Esteistä mahdollisuuksiin : vammaistyön perusteet ;;9789526310954;10;3;0;3.3
Guide to managerial communication  ;Munter, Mary  ;9781292021751;10;3;0;3.3
Images of organization ;Morgan, Gareth ;1412939798;10;3;0;3.3
Istanbul ;Maxwell, Virginia ;9781743214770;10;3;0;3.3
Lean six sigma for supply chain management : a 10-step solution process ;Martin, James W. ;9780071793056;10;3;0;3.3
Lyhyt matikka. 1 : Lausekkeet ja yhtälöt ;;9789526310022;10;3;0;3.3
Meklari : julkihuudosta algoritmikauppaan : 30 vuotta pörssimeklarin työtä ;;9789529343935;10;1;2;3.3
Napit vastakkain : ristiriidat, rajat ja ratkaisut ;Isokorpi, Tia ;9524511320;10;3;0;3.3
Oikaisumenettely hallinnossa ;Halila, Leena ;9789526326405;10;3;0;3.3
Small move, big change : using microresolutions to transform your life permanently ;Arnold, Caroline L. ;9780143126164;10;3;0;3.3
Sotaanlähtö : romaani ;Liuhto, Sami ;9789522155689;10;3;0;3.3
The 4-hour work week : escape the 9-5, live anywhere and join the new rich ;Ferriss, Timothy ;9780091929114;10;3;0;3.3
The red book = Liber novus ;Jung, C. G. ;9780393065671;10;3;0;3.3
Virkamiesvaltaa? : ministerien ja virkamiesten väliset valtasuhteet Suomessa viime vuosikymmenien aikana ;Murto, Eero ;9789514496653;10;3;0;3.3
Ääniä mereltä : merenkulkijat muistelevat ;;9789529347605;10;1;2;3.3
Holhoustoimen pääpiirteet ;Välimäki, Pertti ;9789510338339;10;4;0;2.5
Kiinteistönvälitys ja -arviointi ;Kasso, Matti ;9789521421594;10;4;0;2.5
Red One : Welcome to America. 1 ;Dorison, Xavier ;9781632154002;10;4;0;2.5
Sri Lanka ;Ver Berkmoes, Ryan ;9781741797008;10;4;0;2.5
Toimii! : hoitajan opas luoviin menetelmiin ;;9789513766276;10;4;0;2.5
Finanssikapitalismin väkivalta ;Marazzi, Christian ;9789527093016;10;5;0;2.0
Make up : your life guide to beauty, style, and success - online and off ;Phan, Michelle ;9780804137348;10;3;2;2.0
Näkymättömän kosketus : kertomuksia João de Deuksen parantamistyöstä, henki- ja tietoisuustieteestä ja rakkaudesta ;Will-Vidlund, Marjaana ;9789526749839;10;5;0;2.0
Palkitseminen ihmisten johtamisessa ;;9789524516679;10;5;0;2.0
Palliatiivinen hoitotyö : parantumattomasti sairas ja hänen perheensä ;;9789518944648;10;5;0;2.0
Pikkupiika pakolainen ;Kervinen, Kaisa ;9789525823776;10;5;0;2.0
Poseidon's wake ;Reynolds, Alastair ;9780575090491;10;5;0;2.0
Sosiaalipedagoginen aikakauskirja : vuosikirja 2007 ;;;10;5;0;2.0
Sosiaalityön vaikuttavuus ;;9789524845151;10;5;0;2.0
Tutkimuksen tekemisen perusteet ihmistieteissä ;Metsämuuronen, Jari ;9525372189;10;5;0;2.0
Ugly love ;Hoover, Colleen ;9781471136726;10;5;0;2.0
Kehittämistutkimus opinnäytetyönä : kehittämistutkimuksen kirjoittamisen käytännön opas ;Kananen, Jorma ;9789518302257;10;6;0;1.7
Olof Enckells liv i centrum av en kulturepok ;Enckell, Emelie ;9789515235589;10;6;0;1.7
Eläköön rumba! ;Caicedo, Andrés ;9789527063040;10;7;0;1.4
Erityisestä ja yleisestä suhteellisuusteoriasta yleistajuisesti ;Einstein, Albert ;9789525985290;10;7;0;1.4
Kasvuun! : draamakasvatusta 1-8-vuotiaille ;Toivanen, Tapio ;9789510363935;10;7;0;1.4
Lentoon! : draama ja teatteri koulussa ;Toivanen, Tapio ;9789510324561;10;7;0;1.4
Physica. 7 : Sähkömagnetismi ;;9789526316819;10;7;0;1.4
Rakastan kirjastoa : tarinoita lukijoilta ;Saarinen, Saana ;9789523040700;10;7;0;1.4
Lääkehoito ;Nurminen, Marja-Leena ;9789510361733;10;8;0;1.3
Turvallisen lääkehoidon perusteet ;Taam-Ukkonen, Minna ;9789510351178;10;8;0;1.3
Ihmisen lähellä : hengellisyys hoitotyössä ;;9789516079144;10;9;0;1.1
Johdatus kielitieteeseen ;;9789526320113;10;9;0;1.1
Suomen laki. II ;;9789521422065;10;9;0;1.1
Win win : English for your business career ;Stansfield, Louise ;9789513752255;10;9;0;1.1
Autiotuvista lomakaupunkeihin : Lapin matkailun arkkitehtuurihistoria ;Hautajärvi, Harri ;9789526055978;9;1;0;9.0
Bird by bird : some instructions on writing and life ;Lamott, Anne ;9780385480017;9;1;0;9.0
Campbell biology ;;9780321739759;9;1;0;9.0
Come as you are : the surprising new science that will transform your sex life ;Nagoski, Emily ;9781925228014;9;1;0;9.0
Dragonfly in amber ;Gabaldon, Diana ;9780099294719;9;1;0;9.0
Halujohtaminen ;Rope, Timo ;9789522461803;9;1;0;9.0
How to make coffee : the science behind the bean ;Kingston, Lani ;9781782402015;9;1;0;9.0
Lejontämjaren ;Läckberg, Camilla ;9789143013962;9;1;0;9.0
Love in vain : Robert Johnson 1911 -1938 ;Dupont, Jean-Michel ;9782344003398;9;1;0;9.0
Muista Flebasta ;Banks, Iain ;9529646992;9;1;0;9.0
Neiti Etsivä ja noitamerkki ;Keene, Carolyn ;9513066592;9;1;0;9.0
Prisoners of geography : ten maps that tell you everything you need to know about global politics ;Marshall, Tim ;9781783961412;9;1;0;9.0
Sanna ja Samuli ;Wolde, Gunilla ;9513033546;9;1;0;9.0
Suomi taisteli : piirretty sota ;Pilke, Helena ;9789523210745;9;1;0;9.0
Tarinoita voimasta ;Castaneda, Carlos ;951115642X;9;1;0;9.0
Teini-ikäiset mutanttininjakilpikonnat. 1 ;Eastman, Kevin ;9510186465;9;1;0;9.0
The 3 things that will change your destiny today! ;McKenna, Paul ;9780593064030;9;1;0;9.0
The art of the start 2.0 : the time-tested, battle-hardened guide for anyone starting anything ;Kawasaki, Guy ;9780241187265;9;1;0;9.0
The village effect : why face-to-face contact matters ;Pinker, Susan ;9781848878587;9;1;0;9.0
Tukikohta ;King, Stephen ;9516116809;9;1;0;9.0
When to rob a bank : a rogue economist's guide to the world ;Levitt, Steven D. ;9780141980966;9;1;0;9.0
Yhteydessä Jumalan henkimaailman kanssa, sen lait ja tarkoitus : katolisen papin kokemuksia ;Greber, Johannes ;9789529349999;9;1;0;9.0
A student's introduction to English grammar ;Huddleston, Rodney  ;9780521612883;9;2;0;4.5
Biological psychology ;Kalat, James W. ;053451409X;9;2;0;4.5
Dialogisuus kommunikaationa ja suhteena : vastaamisen, vallan ja vastuun merkitys sosiaalialan asiakastyön vuorovaikutuksessa ;Mönkkönen, Kaarina ;9517819331;9;2;0;4.5
Flood of fire ;Ghosh, Amitav ;9780719569005;9;1;1;4.5
Herkuista hienoin ;Roberts, Nora ;9789164049834;9;2;0;4.5
Kyyti ;Salomaa, Sauli ;9789525804812;9;1;1;4.5
Lukijaksi! : alkuopetuksen kirjallisuuskasvatus ;Linna, Helena ;9789526307114;9;2;0;4.5
Mind and cosmos : why the materialist neo-Darwinian conception of nature is almost certainly false ;Nagel, Thomas    ;9780199919758;9;1;1;4.5
Mindfulness pocketbook : little exercises for a calmer life ;Hasson, Gill ;9780857085894;9;2;0;4.5
Ms. Marvel. 2 : Generation why ;Wilson, G. Willow ;9780785190226;9;2;0;4.5
Organizational behaviour ;Huczynski, Andrzej  ;9780273774815;9;2;0;4.5
Qualitative research & evaluation methods ;Patton, Michael Quinn ;9781412972123;9;2;0;4.5
The forgotten room : a novel ;Child, Lincoln ;9780385531405;9;2;0;4.5
The full catastrophe : travels among the new Greek ruins ;Angelos, James ;9780385346481;9;2;0;4.5
The reboot with Joe juice diet : lose weight, get healthy and feel amazing ;Cross, Joe ;9781444788341;9;2;0;4.5
Thug kitchen : eat like you give a f**k ;;9780751555516;9;2;0;4.5
Under a Cornish sky ;Fenwick, Liz ;9781409148265;9;1;1;4.5
