Nimike;Tekijä;ISBN;Varauksia;Niteitä;Tilattuja lisäkappaleita;Varauksia / nide
Hyvä kosketus : ihmisen kehosta, terveydestä, hoitamisesta ja kirjallisuudesta ;Mazzarella, Merete ;9789513182991;45;6;0;7.5
Valtiosääntöoikeus ;Jyränki, Antero ;9789522461094;45;9;0;5.0
Päästä varpaisiin : ihmisen anatomia ja fysiologia ;;9789513764852;45;14;0;3.2
Tasapainota kehosi energiat : löydä paras mahdollinen terveys, elinvoima ja ilo ;Eden, Donna ;9789522602862;45;15;0;3.0
Maailmanhistorian kukoistavimmat kaupungit, eli Miten erilaisuuden sietäminen synnyttää vaurautta ja sivistystä ;Turunen, Ari ;9789522643759;45;29;0;1.6
Kateissa ;Sarvilinna, Roope ;9789513185107;45;30;0;1.5
Itsemyötätunto ;Grandell, Ronnie ;9789513183370;45;34;0;1.3
Epione valmennus. Kemia 2015 ;;9789525723403;44;3;0;14.7
365 : koko vuoden keittokirja ;Jaakonen, Kati ;9789523211025;44;5;0;8.8
Totuus taivaasta : tiedemiehen silmiä avaava kuolemanrajakokemus ;Alexander, Eben ;9789510411339;44;9;0;4.9
Saumattomat neuleet ;Verschik, Anna ;9789522542373;44;14;0;3.1
Miten Salpausselät syntyivät ;Isomäki, Risto ;9789522643582;44;15;0;2.9
Nukkumatti ;Kepler, Lars ;9789513180584;43;24;0;1.8
Functional Training : toiminnallinen harjoittelu, ruokavalio ja treeniohjelmat ;Rode Andersen, Thomas ;9789523001459;43;24;1;1.7
Liiketoimintaosaaminen : menestyvän yritystoiminnan perusta ;Viitala, Riitta ;9789513763596;43;34;0;1.3
Irti sokerista loppuiäksi : terveyttä, hyvinvointia ja ravinteikkaita reseptejä ;Wilson, Sarah ;9789522941084;43;35;0;1.2
Aakkostalo ;Adler-Olsen, Jussi ;9512059975;42;6;0;7.0
Karhuvaaran uhri : jännityskirja ;Pehkonen, Kirsi ;9789522026576;42;7;0;6.0
Opiskelijan herkkukirja : moderneja ja helppoja aterioita alta 20 minuutin! ;Herring, Laura ;9789523210691;42;9;0;4.7
Kiminkinen vastaa : 100 kysymystä lääkärille ;Kiminkinen, Tapani ;9789513185725;42;13;0;3.2
Lääkehoidon käsikirja ;Saano, Susanna ;9789526301723;42;17;0;2.5
Erityispedagogiikka ja kouluikä ;;9789515707796;42;20;0;2.1
Olennainen sosiaalityössä ;Raunio, Kyösti ;9789524951029;42;29;0;1.4
Unissasaarnaaja : romaani ;Koivukari, Tapio ;9789510407189;42;30;0;1.4
The girl on the train : [a novel] ;Hawkins, Paula ;9781410477767;41;2;0;20.5
Skymningsflickan : [spänningsroman] ;Wennstam, Katarina ;9789100145897;41;7;0;5.9
Photoshop Lightroom 6/CC valokuvaajille ;Potka, Pekka ;9789522911230;41;14;0;2.9
Kasvatus ja filosofia ;Puolimatka, Tapio ;9512642492;41;15;0;2.7
Ventana. 1 ;Ahlava, Anna ;9789526318431;41;17;0;2.4
Ravitsemustaito ;Voutilainen, Eeva ;9789526314716;41;18;0;2.3
Lasten erityishuolto ja -opetus Suomessa ;;9789517683920;41;19;0;2.2
Hoitamalla hyvää oloa ;;9789526331898;41;20;0;2.1
Kasvatussosiologia ;Antikainen, Ari ;9510311243;41;20;0;2.1
Epione valmennus. Fysiikka 2015 ;;9789525723397;40;2;0;20.0
Lyhytterapeuttinen työote ;Kanninen, Katri ;9789524516549;40;4;0;10.0
Ajattele oikein - menesty! ;Hill, Napoleon ;9789527049013;40;7;0;5.7
Lumiprinsessa ja taikaympyrä : dekkari ;Anttila-Halinen, Ursula ;9789527066201;40;5;2;5.7
Asiakkaat toimijoina sosiaalityössä ;;9789517684156;40;8;0;5.0
Maleskelulupa ;Nenonen, Päivi ;9789527142097;40;6;4;4.0
Moderni rahoitus ;Knüpfer, Samuli ;9789521423123;40;12;0;3.3
Paper towns ;Green, John ;9781408867846;40;11;1;3.3
Käytännön kirjanpito ;Tomperi, Soile ;9789513766658;40;13;0;3.1
Español uno : espanjaa aikuisille ;Kontturi, Kimmo ;9789517926720;40;19;0;2.1
Luota, aavista : sanoja hiljaisuuden polulta ;Hellsten, Tommy ;9789522882561;40;22;0;1.8
Terroristien pesä : Suomi ja taistelu Venäjästä 1918-1939 ;Mainio, Aleksi ;9789522342881;40;25;0;1.6
Asemapaikka New York ;Heikura, Jouko ;9789512400775;40;34;0;1.2
Lääketieteen valintakokeen biologia 2015 : teoria ja tehtävät ;Holmén, Joel ;9789526793573;39;4;0;9.8
Skarppaa - terveydeksi! : vilja-, viini- ja sokeripaastolla Harmoniaan ;Aulanko, Mari ;9789526823706;39;8;0;4.9
Maigret juo ;Ranki, Risto ;9789511291664;39;9;0;4.3
Perioperatiivinen hoitotyö ;Lukkari, Liisa ;9789510291931;39;10;0;3.9
Jättien puristuksessa : taistelu Baltiasta 1941-1945 ;Buttar, Prit ;9789522291554;39;15;0;2.6
Hajalla : onneton totuus psykiatrian nykytilasta ;Davies, James ;9789522603630;39;16;0;2.4
Särkyneet ;Jansson, Eija ;9789527071151;39;14;2;2.4
Looking for Alaska ;Green, John  ;9780007523160;39;16;1;2.3
Español uno : espanjaa aikuisille ;Kontturi, Kimmo ;9789517925280;39;19;0;2.1
Sovjetistan : matka Turkmenistaniin, Kazakstaniin, Tadžikistaniin, Kirgisiaan ja Uzbekistaniin ;Fatland, Erika ;9789522343024;39;23;0;1.7
Toverit herätkää : poliittinen laululiike Suomessa ;Forss, Timo Kalevi ;9789522644411;39;23;0;1.7
Light plan : rimpuilua nollameridiaanilla ;Vanhala, Pietari ;9789523184312;38;2;0;19.0
Pimeän rahan uhrit : jännitysromaani ;Meriläinen, Seppo ;9789523151666;38;2;0;19.0
Atkinson & Hilgard's introduction to psychology ;;9781408089026;38;7;0;5.4
Toivon viesti enkeleiltä ;Byrne, Lorna ;9789511283997;38;8;0;4.8
Luota, luovu ja lennä ;Blomster, Salme ;9789524757096;38;9;0;4.2
The science of personality ;Pervin, Lawrence A. ;9780195159714;38;10;0;3.8
Kasvu kiikarissa : havainnoinnin käsikirja varhaiskasvattajille ;Koivunen, Pirjo-Leena ;9789524516464;38;13;0;2.9
Sisusta, somista ja tee itse kaunista kotiin ;Niemi, Pinja ;9789523121157;38;14;0;2.7
Lisää virtaa! : smoothiet, supermehut ja terveelliset välipalat ;Karlson, Marita ;9789523210219;38;15;0;2.5
Saaristoruokaa ;Syrjänen, Harri ;9789511288077;38;15;0;2.5
